Entry ID,Date,Transaction Type,Account Debited,Account Credited,Amount,Narration
1001,2024-01-01,Rent,Rent Expense,Bank Account,12518.21,Monthly rent paid for office space
1002,2024-01-02,Interest Income,Bank Account,Interest Income,13326.25,Interest received from bank
1003,2024-01-03,Sales,Accounts Receivable,Sales Revenue,18429.47,Credit sale to customer Nova Enterprises
1004,2024-01-04,Loan Repayment,Loan Payable,Bank Account,18887.25,Loan repayment to bank
1005,2024-01-05,Payroll,Salaries Expense,Bank Account,12545.34,Salary paid to employees
1006,2024-01-06,Rent,Rent Expense,Bank Account,15041.96,Monthly rent paid for office space
1007,2024-01-07,Loan Repayment,Loan Payable,Bank Account,4738.23,Loan repayment to bank
1008,2024-01-08,Rent,Rent Expense,Bank Account,15410.58,Monthly rent paid for office space
1009,2024-01-09,Rent,Rent Expense,Bank Account,11222.69,Monthly rent paid for office space
1010,2024-01-10,Depreciation,Depreciation Expense,Accumulated Depreciation,15788.3,Monthly depreciation for asset
1011,2024-01-11,Interest Income,Bank Account,Interest Income,2313.03,Interest received from bank
1012,2024-01-12,Purchase,Inventory,Accounts Payable,1930.97,Raw materials purchased from supplier BrightTech
1013,2024-01-13,Interest Income,Bank Account,Interest Income,15972.43,Interest received from bank
1014,2024-01-14,Sales,Accounts Receivable,Sales Revenue,3974.64,Credit sale to customer Global Suppliers
1015,2024-01-15,Rent,Rent Expense,Bank Account,1959.69,Monthly rent paid for office space
1016,2024-01-16,Loan Repayment,Loan Payable,Bank Account,7553.85,Loan repayment to bank
1017,2024-01-17,Cash Sale,Cash Account,Sales Revenue,14978.63,Cash sale to customer
1018,2024-01-18,Interest Income,Bank Account,Interest Income,18048.53,Interest received from bank
1019,2024-01-19,Purchase,Inventory,Accounts Payable,14330.22,Raw materials purchased from supplier XYZ Corp.
1020,2024-01-20,Rent,Rent Expense,Bank Account,16348.66,Monthly rent paid for office space
1021,2024-01-21,Cash Sale,Cash Account,Sales Revenue,5755.65,Cash sale to customer
1022,2024-01-22,Cash Sale,Cash Account,Sales Revenue,19956.25,Cash sale to customer
1023,2024-01-23,Depreciation,Depreciation Expense,Accumulated Depreciation,3818.98,Monthly depreciation for asset
1024,2024-01-24,Sales,Accounts Receivable,Sales Revenue,16467.97,Credit sale to customer BrightTech
1025,2024-01-25,Depreciation,Depreciation Expense,Accumulated Depreciation,1146.15,Monthly depreciation for asset
1026,2024-01-26,Purchase,Inventory,Accounts Payable,7725.7,Raw materials purchased from supplier Global Suppliers
1027,2024-01-27,Cash Sale,Cash Account,Sales Revenue,9458.96,Cash sale to customer
1028,2024-01-28,Sales,Accounts Receivable,Sales Revenue,11570.19,Credit sale to customer XYZ Corp.
1029,2024-01-29,Payroll,Salaries Expense,Bank Account,8061.37,Salary paid to employees
1030,2024-01-30,Depreciation,Depreciation Expense,Accumulated Depreciation,1110.97,Monthly depreciation for asset
1031,2024-01-31,Interest Income,Bank Account,Interest Income,12357.85,Interest received from bank
1032,2024-02-01,Interest Income,Bank Account,Interest Income,7801.26,Interest received from bank
1033,2024-02-02,Depreciation,Depreciation Expense,Accumulated Depreciation,6625.24,Monthly depreciation for asset
1034,2024-02-03,Sales,Accounts Receivable,Sales Revenue,3359.97,Credit sale to customer BrightTech
1035,2024-02-04,Payroll,Salaries Expense,Bank Account,16652.14,Salary paid to employees
1036,2024-02-05,Rent,Rent Expense,Bank Account,8043.09,Monthly rent paid for office space
1037,2024-02-06,Interest Income,Bank Account,Interest Income,10658.37,Interest received from bank
1038,2024-02-07,Depreciation,Depreciation Expense,Accumulated Depreciation,16667.81,Monthly depreciation for asset
1039,2024-02-08,Loan Repayment,Loan Payable,Bank Account,14757.58,Loan repayment to bank
1040,2024-02-09,Cash Sale,Cash Account,Sales Revenue,7402.23,Cash sale to customer
1041,2024-02-10,Interest Income,Bank Account,Interest Income,14514.47,Interest received from bank
1042,2024-02-11,Loan Repayment,Loan Payable,Bank Account,2411.14,Loan repayment to bank
1043,2024-02-12,Cash Sale,Cash Account,Sales Revenue,14360.51,Cash sale to customer
1044,2024-02-13,Loan Repayment,Loan Payable,Bank Account,15120.62,Loan repayment to bank
1045,2024-02-14,Cash Sale,Cash Account,Sales Revenue,10582.86,Cash sale to customer
1046,2024-02-15,Depreciation,Depreciation Expense,Accumulated Depreciation,16369.84,Monthly depreciation for asset
1047,2024-02-16,Depreciation,Depreciation Expense,Accumulated Depreciation,16386.46,Monthly depreciation for asset
1048,2024-02-17,Depreciation,Depreciation Expense,Accumulated Depreciation,10722.22,Monthly depreciation for asset
1049,2024-02-18,Loan Repayment,Loan Payable,Bank Account,14440.14,Loan repayment to bank
1050,2024-02-19,Purchase,Inventory,Accounts Payable,14856.12,Raw materials purchased from supplier XYZ Corp.
1051,2024-02-20,Sales,Accounts Receivable,Sales Revenue,19196.68,Credit sale to customer ABC Pvt. Ltd.
1052,2024-02-21,Rent,Rent Expense,Bank Account,14226.14,Monthly rent paid for office space
1053,2024-02-22,Cash Sale,Cash Account,Sales Revenue,1112.28,Cash sale to customer
1054,2024-02-23,Loan Repayment,Loan Payable,Bank Account,14698.01,Loan repayment to bank
1055,2024-02-24,Interest Income,Bank Account,Interest Income,19870.99,Interest received from bank
1056,2024-02-25,Rent,Rent Expense,Bank Account,16356.67,Monthly rent paid for office space
1057,2024-02-26,Interest Income,Bank Account,Interest Income,8255.4,Interest received from bank
1058,2024-02-27,Cash Sale,Cash Account,Sales Revenue,12952.45,Cash sale to customer
1059,2024-02-28,Purchase,Inventory,Accounts Payable,12261.49,Raw materials purchased from supplier XYZ Corp.
1060,2024-02-29,Loan Repayment,Loan Payable,Bank Account,17023.89,Loan repayment to bank
1061,2024-03-01,Interest Income,Bank Account,Interest Income,19653.01,Interest received from bank
1062,2024-03-02,Payroll,Salaries Expense,Bank Account,19623.68,Salary paid to employees
1063,2024-03-03,Interest Income,Bank Account,Interest Income,9517.28,Interest received from bank
1064,2024-03-04,Depreciation,Depreciation Expense,Accumulated Depreciation,8841.62,Monthly depreciation for asset
1065,2024-03-05,Rent,Rent Expense,Bank Account,7843.26,Monthly rent paid for office space
1066,2024-03-06,Depreciation,Depreciation Expense,Accumulated Depreciation,8120.44,Monthly depreciation for asset
1067,2024-03-07,Cash Sale,Cash Account,Sales Revenue,1989.42,Cash sale to customer
1068,2024-03-08,Sales,Accounts Receivable,Sales Revenue,3673.59,Credit sale to customer XYZ Corp.
1069,2024-03-09,Interest Income,Bank Account,Interest Income,15779.47,Interest received from bank
1070,2024-03-10,Purchase,Inventory,Accounts Payable,5211.23,Raw materials purchased from supplier Nova Enterprises
1071,2024-03-11,Depreciation,Depreciation Expense,Accumulated Depreciation,11090.03,Monthly depreciation for asset
1072,2024-03-12,Depreciation,Depreciation Expense,Accumulated Depreciation,12360.14,Monthly depreciation for asset
1073,2024-03-13,Interest Income,Bank Account,Interest Income,13480.67,Interest received from bank
1074,2024-03-14,Loan Repayment,Loan Payable,Bank Account,15759.7,Loan repayment to bank
1075,2024-03-15,Cash Sale,Cash Account,Sales Revenue,8820.56,Cash sale to customer
1076,2024-03-16,Interest Income,Bank Account,Interest Income,16944.78,Interest received from bank
1077,2024-03-17,Depreciation,Depreciation Expense,Accumulated Depreciation,8506.25,Monthly depreciation for asset
1078,2024-03-18,Interest Income,Bank Account,Interest Income,10914.89,Interest received from bank
1079,2024-03-19,Depreciation,Depreciation Expense,Accumulated Depreciation,2777.05,Monthly depreciation for asset
1080,2024-03-20,Cash Sale,Cash Account,Sales Revenue,1422.34,Cash sale to customer
1081,2024-03-21,Interest Income,Bank Account,Interest Income,2373.14,Interest received from bank
1082,2024-03-22,Rent,Rent Expense,Bank Account,2642.43,Monthly rent paid for office space
1083,2024-03-23,Interest Income,Bank Account,Interest Income,2496.08,Interest received from bank
1084,2024-03-24,Loan Repayment,Loan Payable,Bank Account,16414.89,Loan repayment to bank
1085,2024-03-25,Cash Sale,Cash Account,Sales Revenue,12540.17,Cash sale to customer
1086,2024-03-26,Cash Sale,Cash Account,Sales Revenue,9216.5,Cash sale to customer
1087,2024-03-27,Interest Income,Bank Account,Interest Income,13386.88,Interest received from bank
1088,2024-03-28,Loan Repayment,Loan Payable,Bank Account,11873.13,Loan repayment to bank
1089,2024-03-29,Sales,Accounts Receivable,Sales Revenue,13207.74,Credit sale to customer Nova Enterprises
1090,2024-03-30,Sales,Accounts Receivable,Sales Revenue,5315.94,Credit sale to customer ABC Pvt. Ltd.
1091,2024-03-31,Payroll,Salaries Expense,Bank Account,11544.13,Salary paid to employees
1092,2024-04-01,Cash Sale,Cash Account,Sales Revenue,6676.43,Cash sale to customer
1093,2024-04-02,Loan Repayment,Loan Payable,Bank Account,16617.7,Loan repayment to bank
1094,2024-04-03,Depreciation,Depreciation Expense,Accumulated Depreciation,16522.36,Monthly depreciation for asset
1095,2024-04-04,Payroll,Salaries Expense,Bank Account,7174.38,Salary paid to employees
1096,2024-04-05,Cash Sale,Cash Account,Sales Revenue,9367.2,Cash sale to customer
1097,2024-04-06,Payroll,Salaries Expense,Bank Account,5408.64,Salary paid to employees
1098,2024-04-07,Interest Income,Bank Account,Interest Income,12627.61,Interest received from bank
1099,2024-04-08,Interest Income,Bank Account,Interest Income,13632.45,Interest received from bank
1100,2024-04-09,Purchase,Inventory,Accounts Payable,16369.51,Raw materials purchased from supplier Nova Enterprises
1101,2024-04-10,Rent,Rent Expense,Bank Account,6893.56,Monthly rent paid for office space
1102,2024-04-11,Payroll,Salaries Expense,Bank Account,3588.08,Salary paid to employees
1103,2024-04-12,Sales,Accounts Receivable,Sales Revenue,6628.09,Credit sale to customer Nova Enterprises
1104,2024-04-13,Loan Repayment,Loan Payable,Bank Account,19498.2,Loan repayment to bank
1105,2024-04-14,Cash Sale,Cash Account,Sales Revenue,16253.5,Cash sale to customer
1106,2024-04-15,Sales,Accounts Receivable,Sales Revenue,7505.63,Credit sale to customer ABC Pvt. Ltd.
1107,2024-04-16,Payroll,Salaries Expense,Bank Account,3143.68,Salary paid to employees
1108,2024-04-17,Interest Income,Bank Account,Interest Income,11877.32,Interest received from bank
1109,2024-04-18,Purchase,Inventory,Accounts Payable,18753.71,Raw materials purchased from supplier Unity Inc.
1110,2024-04-19,Cash Sale,Cash Account,Sales Revenue,6406.63,Cash sale to customer
1111,2024-04-20,Payroll,Salaries Expense,Bank Account,18084.12,Salary paid to employees
1112,2024-04-21,Loan Repayment,Loan Payable,Bank Account,13077.3,Loan repayment to bank
1113,2024-04-22,Interest Income,Bank Account,Interest Income,16167.54,Interest received from bank
1114,2024-04-23,Sales,Accounts Receivable,Sales Revenue,1863.82,Credit sale to customer XYZ Corp.
1115,2024-04-24,Rent,Rent Expense,Bank Account,19308.53,Monthly rent paid for office space
1116,2024-04-25,Sales,Accounts Receivable,Sales Revenue,5527.78,Credit sale to customer ABC Pvt. Ltd.
1117,2024-04-26,Sales,Accounts Receivable,Sales Revenue,12835.95,Credit sale to customer Unity Inc.
1118,2024-04-27,Payroll,Salaries Expense,Bank Account,19297.86,Salary paid to employees
1119,2024-04-28,Rent,Rent Expense,Bank Account,13796.42,Monthly rent paid for office space
1120,2024-04-29,Loan Repayment,Loan Payable,Bank Account,12634.1,Loan repayment to bank
1121,2024-04-30,Cash Sale,Cash Account,Sales Revenue,17221.47,Cash sale to customer
1122,2024-05-01,Loan Repayment,Loan Payable,Bank Account,16314.49,Loan repayment to bank
1123,2024-05-02,Cash Sale,Cash Account,Sales Revenue,8937.07,Cash sale to customer
1124,2024-05-03,Loan Repayment,Loan Payable,Bank Account,14126.09,Loan repayment to bank
1125,2024-05-04,Cash Sale,Cash Account,Sales Revenue,15249.87,Cash sale to customer
1126,2024-05-05,Loan Repayment,Loan Payable,Bank Account,19435.24,Loan repayment to bank
1127,2024-05-06,Sales,Accounts Receivable,Sales Revenue,7465.02,Credit sale to customer ABC Pvt. Ltd.
1128,2024-05-07,Rent,Rent Expense,Bank Account,5867.51,Monthly rent paid for office space
1129,2024-05-08,Cash Sale,Cash Account,Sales Revenue,17140.77,Cash sale to customer
1130,2024-05-09,Loan Repayment,Loan Payable,Bank Account,7589.07,Loan repayment to bank
1131,2024-05-10,Sales,Accounts Receivable,Sales Revenue,5197.99,Credit sale to customer Nova Enterprises
1132,2024-05-11,Purchase,Inventory,Accounts Payable,7081.05,Raw materials purchased from supplier XYZ Corp.
1133,2024-05-12,Interest Income,Bank Account,Interest Income,8752.5,Interest received from bank
1134,2024-05-13,Payroll,Salaries Expense,Bank Account,8888.33,Salary paid to employees
1135,2024-05-14,Cash Sale,Cash Account,Sales Revenue,5426.21,Cash sale to customer
1136,2024-05-15,Depreciation,Depreciation Expense,Accumulated Depreciation,7400.18,Monthly depreciation for asset
1137,2024-05-16,Loan Repayment,Loan Payable,Bank Account,15997.14,Loan repayment to bank
1138,2024-05-17,Cash Sale,Cash Account,Sales Revenue,7026.72,Cash sale to customer
1139,2024-05-18,Loan Repayment,Loan Payable,Bank Account,9079.55,Loan repayment to bank
1140,2024-05-19,Loan Repayment,Loan Payable,Bank Account,12449.22,Loan repayment to bank
1141,2024-05-20,Sales,Accounts Receivable,Sales Revenue,12791.07,Credit sale to customer Global Suppliers
1142,2024-05-21,Payroll,Salaries Expense,Bank Account,12486.84,Salary paid to employees
1143,2024-05-22,Depreciation,Depreciation Expense,Accumulated Depreciation,18122.18,Monthly depreciation for asset
1144,2024-05-23,Loan Repayment,Loan Payable,Bank Account,13798.3,Loan repayment to bank
1145,2024-05-24,Rent,Rent Expense,Bank Account,9463.7,Monthly rent paid for office space
1146,2024-05-25,Interest Income,Bank Account,Interest Income,17534.55,Interest received from bank
1147,2024-05-26,Rent,Rent Expense,Bank Account,14601.95,Monthly rent paid for office space
1148,2024-05-27,Payroll,Salaries Expense,Bank Account,13558.6,Salary paid to employees
1149,2024-05-28,Payroll,Salaries Expense,Bank Account,3230.46,Salary paid to employees
1150,2024-05-29,Interest Income,Bank Account,Interest Income,14878.46,Interest received from bank
1151,2024-05-30,Payroll,Salaries Expense,Bank Account,17505.48,Salary paid to employees
1152,2024-05-31,Sales,Accounts Receivable,Sales Revenue,7843.2,Credit sale to customer Unity Inc.
1153,2024-06-01,Sales,Accounts Receivable,Sales Revenue,12107.71,Credit sale to customer ABC Pvt. Ltd.
1154,2024-06-02,Purchase,Inventory,Accounts Payable,2604.59,Raw materials purchased from supplier XYZ Corp.
1155,2024-06-03,Sales,Accounts Receivable,Sales Revenue,12948.01,Credit sale to customer Global Suppliers
1156,2024-06-04,Loan Repayment,Loan Payable,Bank Account,8422.77,Loan repayment to bank
1157,2024-06-05,Loan Repayment,Loan Payable,Bank Account,16911.93,Loan repayment to bank
1158,2024-06-06,Loan Repayment,Loan Payable,Bank Account,19089.77,Loan repayment to bank
1159,2024-06-07,Cash Sale,Cash Account,Sales Revenue,16802.79,Cash sale to customer
1160,2024-06-08,Cash Sale,Cash Account,Sales Revenue,11480.51,Cash sale to customer
1161,2024-06-09,Purchase,Inventory,Accounts Payable,6834.28,Raw materials purchased from supplier Unity Inc.
1162,2024-06-10,Interest Income,Bank Account,Interest Income,11742.91,Interest received from bank
1163,2024-06-11,Rent,Rent Expense,Bank Account,5358.83,Monthly rent paid for office space
1164,2024-06-12,Interest Income,Bank Account,Interest Income,14300.63,Interest received from bank
1165,2024-06-13,Rent,Rent Expense,Bank Account,10849.95,Monthly rent paid for office space
1166,2024-06-14,Depreciation,Depreciation Expense,Accumulated Depreciation,14771.89,Monthly depreciation for asset
1167,2024-06-15,Depreciation,Depreciation Expense,Accumulated Depreciation,11588.34,Monthly depreciation for asset
1168,2024-06-16,Depreciation,Depreciation Expense,Accumulated Depreciation,5341.92,Monthly depreciation for asset
1169,2024-06-17,Payroll,Salaries Expense,Bank Account,11784.85,Salary paid to employees
